forecast_date,target,target_end_date,location,type,quantile,value
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.01,615.186
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.025,1899.136
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.05,2659.88
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.1,4038.36
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.15,4504.563
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.2,5147.74
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.25,5491.676
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.3,5862.072
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.35,6090.362
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.4,6385.831
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.45,6599.194
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.5,7150.674
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.55,7417.95
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.6,7699.574
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.65,7924.599
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.7,8121.688
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.75,8522.453
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.8,9420.875
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.85,9693.626
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.9,10589.099
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.95,11651.873
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.975,12468.036
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,quantile,0.99,13714.6
2026-03-14,1 wk ahead admissions_influenza,2026-03-21,US,point,NA,7150.674
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.01,0
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.025,310.924
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.05,2187.506
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.1,3149.635
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.15,3984.571
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.2,4453.985
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.25,4827.704
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.3,5399.455
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.35,5663.373
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.4,6083.902
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.45,6746.897
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.5,7217.444
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.55,7528.628
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.6,8027.689
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.65,8346.777
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.7,9354.678
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.75,9630.539
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.8,9903.1
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.85,10659.141
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.9,11428.859
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.95,12766.237
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.975,14105.415
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,quantile,0.99,14701.665
2026-03-14,2 wk ahead admissions_influenza,2026-03-28,US,point,NA,7217.444
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.01,0
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.025,0
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.05,0
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.1,1408.192
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.15,2856.658
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.2,3694.53
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.25,4256.456
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.3,4679.134
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.35,5302.885
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.4,6025.465
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.45,6393.825
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.5,6974.413
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.55,7506.564
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.6,8115.014
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.65,8698.791
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.7,9293.635
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.75,9875.268
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.8,10465.853
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.85,11327.121
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.9,11995.892
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.95,13231.144
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.975,15049.72
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,quantile,0.99,16758.611
2026-03-14,3 wk ahead admissions_influenza,2026-04-04,US,point,NA,6974.413
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.01,0
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.025,0
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.05,0
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.1,511.706
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.15,1744.382
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.2,2855.791
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.25,3769.614
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.3,4674.262
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.35,5569.731
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.4,6545.757
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.45,7460.923
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.5,7838.975
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.55,8146.873
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.6,8593.19
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.65,9022.167
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.7,9438.847
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.75,9879.712
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.8,11010.495
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.85,11192.903
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.9,13066.714
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.95,15244.41
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.975,15792.426
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,quantile,0.99,16442.976
2026-03-14,4 wk ahead admissions_influenza,2026-04-11,US,point,NA,7838.975
