forecast_date,target,target_end_date,location,type,quantile,value
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.01,5970.89
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.025,8751.138
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.05,10398.441
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.1,13383.383
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.15,14392.893
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.2,15785.619
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.25,16530.374
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.3,17332.424
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.35,17826.76
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.4,18466.563
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.45,18928.576
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.5,20122.745
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.55,20701.5
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.6,21311.324
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.65,21798.591
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.7,22225.363
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.75,23093.175
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.8,25038.606
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.85,25629.217
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.9,27568.261
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.95,29869.577
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.975,31636.884
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,quantile,0.99,34336.177
2025-12-27,1 wk ahead admissions_influenza,2026-01-03,US,point,NA,20122.745
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.01,1415.672
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.025,5243.359
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.05,9375.571
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.1,11458.95
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.15,13266.91
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.2,14283.371
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.25,15092.618
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.3,16330.679
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.35,16902.164
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.4,17812.771
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.45,19248.41
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.5,20267.327
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.55,20941.16
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.6,22021.821
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.65,22712.768
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.7,24895.264
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.75,25492.61
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.8,26082.809
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.85,27719.928
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.9,29386.667
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.95,32282.605
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.975,35182.443
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,quantile,0.99,36473.554
2025-12-27,2 wk ahead admissions_influenza,2026-01-10,US,point,NA,20267.327
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.01,469.895
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.025,1788.439
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.05,3385.417
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.1,7688.054
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.15,10824.541
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.2,12638.858
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.25,13855.645
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.3,14770.905
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.35,16121.567
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.4,17686.233
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.45,18483.873
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.5,19741.071
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.55,20893.383
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.6,22210.911
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.65,23475.015
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.7,24763.081
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.75,26022.541
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.8,27301.386
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.85,29166.363
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.9,30614.511
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.95,33289.308
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.975,37227.228
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,quantile,0.99,40927.635
2025-12-27,3 wk ahead admissions_influenza,2026-01-17,US,point,NA,19741.071
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.01,298.83
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.025,1340.768
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.05,2836.203
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.1,5746.816
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.15,8416.034
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.2,10822.666
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.25,12801.444
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.3,14760.356
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.35,16699.392
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.4,18812.865
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.45,20794.553
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.5,21613.182
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.55,22279.9
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.6,23246.348
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.65,24175.248
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.7,25077.522
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.75,26032.166
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.8,28480.747
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.85,28875.73
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.9,32933.254
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.95,37648.805
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.975,38835.472
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,quantile,0.99,40244.164
2025-12-27,4 wk ahead admissions_influenza,2026-01-24,US,point,NA,21613.182
