forecast_date,target,target_end_date,location,type,quantile,value
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.01,331.102
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.025,575.744
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.05,720.696
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.1,983.351
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.15,1072.181
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.2,1194.731
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.25,1260.265
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.3,1330.84
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.35,1374.338
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.4,1430.636
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.45,1471.29
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.5,1576.369
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.55,1627.295
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.6,1680.956
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.65,1723.832
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.7,1761.385
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.75,1837.747
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.8,2008.932
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.85,2060.901
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.9,2231.524
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.95,2434.024
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.975,2589.535
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,quantile,0.99,2827.055
2026-04-25,1 wk ahead admissions_influenza,2026-05-02,US,point,NA,1576.369
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.01,59.156
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.025,267.084
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.05,630.69
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.1,814.014
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.15,973.102
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.2,1062.544
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.25,1133.752
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.3,1242.693
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.35,1292.98
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.4,1373.107
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.45,1499.433
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.5,1589.091
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.55,1648.384
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.6,1743.475
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.65,1804.274
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.7,1996.318
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.75,2048.881
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.8,2100.814
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.85,2244.87
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.9,2391.531
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.95,2646.354
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.975,2901.52
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,quantile,0.99,3015.13
2026-04-25,2 wk ahead admissions_influenza,2026-05-09,US,point,NA,1589.091
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.01,0
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.025,0
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.05,103.597
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.1,482.2
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.15,758.19
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.2,917.838
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.25,1024.907
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.3,1105.443
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.35,1224.292
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.4,1361.972
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.45,1432.159
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.5,1542.784
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.55,1644.18
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.6,1760.114
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.65,1871.346
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.7,1984.687
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.75,2095.511
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.8,2208.041
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.85,2372.146
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.9,2499.573
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.95,2734.937
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.975,3081.448
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,quantile,0.99,3407.059
2026-04-25,3 wk ahead admissions_influenza,2026-05-16,US,point,NA,1542.784
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.01,0
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.025,0
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.05,55.27
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.1,311.384
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.15,546.258
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.2,758.025
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.25,932.144
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.3,1104.515
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.35,1275.137
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.4,1461.108
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.45,1635.484
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.5,1707.517
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.55,1766.184
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.6,1851.225
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.65,1932.962
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.7,2012.356
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.75,2096.358
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.8,2311.817
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.85,2346.572
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.9,2703.607
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.95,3118.544
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.975,3222.962
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,quantile,0.99,3346.918
2026-04-25,4 wk ahead admissions_influenza,2026-05-23,US,point,NA,1707.517
