forecast_date,target,target_end_date,location,type,quantile,value
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.01,2234.979
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.025,2781.423
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.05,3105.193
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.1,3691.87
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.15,3890.284
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.2,4164.018
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.25,4310.396
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.3,4468.035
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.35,4565.195
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.4,4690.945
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.45,4781.751
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.5,5016.46
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.55,5130.211
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.6,5250.069
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.65,5345.839
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.7,5429.72
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.75,5600.284
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.8,5982.649
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.85,6098.731
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.9,6479.841
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.95,6932.154
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.975,7279.51
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,quantile,0.99,7810.043
2025-12-06,1 wk ahead admissions_influenza,2025-12-13,US,point,NA,5016.46
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.01,1045.691
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.025,2091.986
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.05,2904.153
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.1,3313.631
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.15,3668.977
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.2,3868.758
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.25,4027.812
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.3,4271.147
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.35,4383.47
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.4,4562.445
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.45,4844.613
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.5,5044.877
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.55,5177.315
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.6,5389.714
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.65,5525.517
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.7,5954.476
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.75,6071.882
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.8,6187.882
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.85,6509.651
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.9,6837.24
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.95,7406.423
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.975,7976.373
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,quantile,0.99,8230.135
2025-12-06,2 wk ahead admissions_influenza,2025-12-20,US,point,NA,5044.877
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.01,1067.218
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.025,1412.938
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.05,1726.816
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.1,2572.479
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.15,3188.941
2025-12-06,3 wk ahead admissions_influenza,2025-12-27,US,quantile,0.2,3545.537
